Fecha,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martín,Tacna ,Tumbes,Ucayali,No registrado
2007-11-01,1.20176221,296.16865031,4.75530942,245.35354309,6.00916309,148.36307567,173.55296113,43.77179075,12.42995651,1.31466581,155.99259406,88.72358616,97.21445897,19.19757037,567.809555659997,5.57843802000001,0.52289973,276.17217842,22.28388402,104.894230570001,9.30039464999999,9.14899185,60.6052359299999,4.61092011,1.88144198,1.1731520362996
2007-12-01,7.61571129,381.4549818,2.99641508,189.30909933,3.13136542,176.06470159,208.71932514,26.03361432,22.02236224,4.82944994,206.232556459999,156.99701391,176.9763132,29.34826203,803.142544930001,13.19974401,0.80160903,229.53615753,58.85684341,173.98232564,12.14176465,4.36557859,54.01380384,7.00156698,3.86500641,0.625514555786594
2008-01-01,0.36910311,307.93791324,0.0,146.81941095,11.53223114,102.72937675,240.59741817,75.0471633100001,9.01214366,0.71885426,203.841477239999,128.44501425,130.68263331,12.36676437,697.618447509997,9.62238308,0.64686815,174.04167824,35.97930183,165.262249030001,13.88206863,1.87413093,69.4112880699998,6.92523041,4.90357771,1.57318714136045
2008-02-01,0.25675187,245.32834129,4.88398578,198.16230494,5.74099131,216.05424531,200.336146770001,43.54908568,2.5267674,6.67688118,146.13201093,112.1631773,150.68712791,12.25613326,598.738064279998,5.45627314999999,0.71031099,226.44587748,59.97108197,159.330193040001,14.44494704,1.28731339,63.1784348399999,3.81925349,3.52657406,1.39057180799091
2008-03-01,0.0437628,381.45946273,3.7012095,264.44110924,2.52464828,166.87348731,180.182865900001,48.87334845,14.05886764,0.54222379,164.18918964,150.08044184,161.02831742,8.61996376999999,675.233353429994,5.78044336,0.70201156,244.21502392,55.43248798,182.21706282,13.20804758,1.39373998,30.59369348,7.65828444,5.160504,0.764973010665472
2008-04-01,0.04936146,458.41319773,3.94769796,176.96015809,5.69295348,81.47612805,165.84402197,47.85775999,28.16583164,2.98450871,175.00987258,112.61743918,128.37861122,7.28479912,728.428706579993,15.24265584,0.49088957,236.6204464,57.56231815,160.51881839,28.79062795,0.92084643,57.5720200100001,6.64464898,3.61384833,1.16127423263288
2008-05-01,0.13859248,500.14172186,0.0690629,252.53213446,3.1269855,175.45575897,219.0419249,44.74558924,1.88409795,4.02523099,167.0319503,129.82598503,141.03133802,10.81100831,755.743424440001,8.37956922,0.57909885,238.86080676,22.54434436,122.87606661,13.82773012,4.34760131,49.2917898399999,6.0083238,5.69159222,1.36293411928273
2008-06-01,0.16004349,416.43219821,8.39238523,194.42868483,2.18612979,169.87701914,271.291123170001,27.19880018,0.62876391,1.45388476,213.192632449999,121.11433764,136.15407676,17.20710205,742.03702766999,6.03209482,0.61748297,184.75825456,32.40229852,192.38618258,16.96960995,3.53340378,38.81003181,10.20761078,3.86585208,1.35980323726562
2008-07-01,0.26300466,462.60917437,11.34585224,221.14059544,14.40815512,154.3320392,260.859526810001,20.76837976,36.21685317,6.64359643,185.85677309,155.40836339,130.90051291,25.26560726,795.066022810003,8.26823049,0.81383159,211.13559718,53.3639822,168.59782813,17.00965732,3.87453566,54.0258573099999,10.32661152,3.40115587,0.673277218658768
2008-08-01,1.51221452,330.86717059,3.17455485,266.24516759,3.75301989,138.66024975,256.47385336,31.91327754,3.93135959,4.20226778,235.197700189999,141.74897857,180.73524784,34.20326215,730.899835699997,10.87145762,1.09291112,171.34442007,36.57416616,198.60464017,12.90375533,8.10680234,60.0439457000001,7.57392815,3.87183967,0.666820365040167
2008-09-01,1.76196543,275.162032,5.54769703,255.44538544,12.13637776,157.43558929,186.70191567,88.96496051,13.83918789,5.93860173,189.75690783,139.20953369,188.55573827,22.53575023,715.493623389996,5.59187964,1.84099931,113.56675489,66.10923792,105.2493999,20.03311157,6.36762786,26.80839894,7.29599577,4.43399916,0.48101452697847
2008-10-01,1.49837856,236.27113006,0.0,159.77305859,5.51565787,130.3754717,139.66170722,21.27425335,3.09051161,3.44125946,204.48571173,102.72075797,175.544904730001,28.85365719,692.795221299998,5.00623411,2.68495286,129.73148678,49.40055974,131.24194865,19.75630562,12.7869076,27.00621196,4.91836108,6.40254159,0.522628521830939
2008-11-01,1.47402489,172.47452531,5.4520599,157.51603553,3.53758437,81.26575621,145.960292520001,43.6185499,6.98087274,4.09654304,190.73424718,84.769908,169.26157851,21.1203451,672.753892069999,3.47356855,2.83875159,127.0737682,38.51716853,79.7920484000001,19.16705596,10.75997788,13.87314513,7.3102761,2.89199692,0.514403774078346
2008-12-01,0.42152853,188.38519961,12.93018962,142.44801844,1.00888751,115.69754234,106.05615391,26.22190701,2.75690273,6.98145541,173.48686124,95.11632337,162.652382900001,14.72473892,638.872830619994,7.62488479,3.51092901,105.78128204,34.74177359,74.9833493000001,16.82692123,5.71943436,16.86028042,6.50156521,3.58085825,0.395450399299989
2009-01-01,0.51139928,168.47332154,0.0639375,81.67119613,1.08189298,126.62079567,96.3426638500001,22.02206249,0.68704547,1.30341918,180.67548007,74.48418098,125.8392876,9.74300699,492.599403189997,2.70972134,2.38644356,83.35273151,17.87345698,82.2510680800002,24.36187613,5.16648433,17.04272718,9.66749664,2.79270119,0.844877469742642
2009-02-01,0.33617325,175.85866493,6.18805583,146.16698159,3.80160793,124.86542218,145.28238152,15.84244655,7.16760439,4.74728538,157.19825988,65.75542013,139.06719122,11.34934706,524.041207330002,3.4557872,2.19986496,108.49954622,31.08471788,71.9895989499999,35.32585589,1.73104939,14.86594367,14.35537692,2.95015126,1.04727533981281
2009-03-01,0.05731023,211.05240596,0.0,127.60464303,3.63763271,186.39039131,132.17305164,34.83295007,3.70671751,0.99299945,166.471459470001,83.13849148,143.90823691,10.39420152,552.196906359998,2.28101046,2.46951098,104.87816298,34.51169737,112.27019822,19.83628808,3.54530804,6.76737701,15.82268765,2.98239495,0.739625500703141
